词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度,极性,,
河清人寿,idiom,1,1,PG,9,1,,,,,
河溓海夷,idiom,1,1,PE,5,1,,,,,
鹤骨松姿,idiom,1,1,PG,5,1,,,,,
鹤唳猿声,idiom,1,1,NB,7,0,,,,,
黑地昏天,idiom,1,1,ND,9,2,,,,,
横三竖四,idiom,1,1,ND,5,2,,,,,
横挑鼻子竖挑眼,idiom,1,1,ND,5,2,,,,,
横冲直闯,idiom,1,1,ND,5,2,,,,,
横祸飞灾,idiom,1,1,NC,5,2,,,,,
衡石程书,idiom,1,1,NB,5,1,,,,,
宏才大略,idiom,1,1,PG,7,1,,,,,
闳识孤怀,idiom,1,1,PG,7,1,,,,,
鸿飞雪爪,idiom,1,1,NJ,5,0,,,,,
鸿鳦满纸,idiom,1,1,ND,5,2,,,,,
鸿篇钜制,idiom,1,1,PG,7,1,,,,,
侯门似海,idiom,1,1,NB,5,2,,,,,
厚味腊毒,idiom,1,1,ND,7,2,,,,,
呼牛作马,idiom,1,1,ND,7,2,,,,,
狐兔之悲,idiom,1,1,NB,7,2,,,,,
狐裘蒙茸,idiom,1,1,ND,5,2,,,,,
胡天胡地,idiom,2,1,PG,9,1,,,,,
师表,noun,1,1,PG,5,1,,,,,
师兄,noun,1,1,PD,5,1,,,,,
施诊,verb,1,1,PG,5,1,,,,,
识荆,verb,1,1,PD,5,1,,,,,
实证主义,noun,1,1,NN,5,2,,,,,
世界主义,noun,1,1,ND,5,1,,,,,
事务主义,noun,1,1,NN,5,2,,,,,
适时,adj,1,1,PG,5,1,,,,,
誓愿,noun,1,1,PH,7,1,,,,,
交际花,noun,1,1,NN,7,2,,,,,
娇娃,noun,1,1,PB,7,1,,,,,
角弓反张,noun,1,1,ND,5,0,,,,,
脚气病,noun,1,1,ND,7,0,,,,,
教条主义,noun,1,1,NN,7,2,,,,,
接气,noun,1,1,PH,5,0,,,,,
揭批,verb,1,1,NN,7,0,,,,,
劫狱,verb,1,1,ND,5,0,,,,,
结缘,verb,1,1,PB,5,0,,,,,
竭诚,adj,1,1,PH,5,0,,,,,
解劝,verb,1,1,PB,7,0,,,,,
戒条,noun,1,1,ND,7,0,,,,,
金链,noun,1,1,PH,7,1,,,,,
津津,adj,2,1,PH,7,1,,,,,
伪君子,noun,1,1,ND,7,2,,,,,
委婉,adj,2,1,PB,5,1,,,,,
畏友,noun,1,1,NC,5,0,,,,,
文玩,noun,1,1,PB,5,0,,,,,
问号,noun,2,2,NL,5,0,,,,,
呜呼,nw,2,1,NB,5,0,,,,,
无量,adj,1,1,PH,7,1,,,,,
投閒置散,idiom,1,1,NJ,7,0,,,,,
徒讬空言,idiom,1,1,NN,5,2,,,,,
涂歌里抃,idiom,1,1,PA,7,1,,,,,
土阶茅茨,idiom,1,1,PH,7,1,,,,,
吐食握发,idiom,1,1,PH,7,1,,,,,
兔走鹘落,idiom,1,1,PH,7,1,,,,,
抟沙作饭,idiom,1,1,NN,7,0,,,,,
推己及物,idiom,1,1,PH,7,1,,,,,
推梨让枣,idiom,1,1,PD,7,1,,,,,
颓垣败井,idiom,1,1,NB,9,2,,,,,
退旅进旅,idiom,1,1,PH,7,1,,,,,
吞风饮雨,idiom,1,1,NB,7,2,,,,,
屯街塞巷,idiom,1,1,NN,5,2,,,,,
讬诸空言,idiom,1,1,NN,5,2,,,,,
脱手弹丸,idiom,1,1,PH,7,1,,,,,
唾壶击缺,idiom,1,1,NE,7,2,,,,,
瓦解冰泮,idiom,1,1,NJ,9,2,,,,,
歪打正着,idiom,1,1,NN,7,2,,,,,
外厉内荏,idiom,1,1,NN,7,2,,,,,
剜肉生疮,idiom,1,1,NN,7,2,,,,,
玩日愒时,idiom,1,1,NN,7,2,,,,,
顽父嚚母,idiom,1,1,NN,7,2,,,,,
亡不旋踵,idiom,1,1,ND,7,2,,,,,
亡国之器,idiom,1,1,NN,7,2,,,,,
王公大人,idiom,1,1,PD,7,1,,,,,
枉尺直寻,idiom,1,1,NN,7,2,,,,,
枉费心力,idiom,1,1,NB,7,2,,,,,
忘生舍死,idiom,1,1,PH,7,1,,,,,
望子成龙,idiom,1,1,PG,7,1,,,,,
望风而靡,idiom,3,1,NN,7,2,,,,,
望梅止渴,idiom,1,1,PE,9,1,,,,,
望尘追迹,idiom,1,1,PH,7,1,,,,,
危言高论,idiom,1,1,PH,7,1,,,,,
威风扫地,idiom,1,1,NN,7,2,,,,,
煨乾避湿,idiom,1,1,NE,7,1,,,,,
为蛇添足,idiom,1,1,NN,7,2,,,,,
为人作嫁,idiom,1,1,NB,7,2,,,,,
为丛驱雀,idiom,1,1,NN,9,2,,,,,
违利赴名,idiom,1,1,PH,7,1,,,,,
围城打援,idiom,1,1,PH,7,1,,,,,
帷薄不修,idiom,1,1,NN,9,2,,,,,
惟日为岁,idiom,1,1,NE,9,2,,,,,
嵬眼澒耳,idiom,1,1,PH,9,1,,,,,
未成一篑,idiom,1,1,NJ,9,2,,,,,
未达一间,idiom,1,1,NJ,9,2,,,,,
偎慵堕懒,idiom,1,1,NN,7,2,,,,,
温枕扇席,idiom,1,1,PH,9,1,,,,,
文人无行,idiom,1,1,NN,7,1,,,,,
文身断发,idiom,1,1,NN,7,2,,,,,
文昭武穆,idiom,1,1,PH,9,1,,,,,
文搜丁甲,idiom,1,1,PH,9,1,,,,,
文献之家,idiom,1,1,PH,9,1,,,,,
闻所未闻,idiom,1,1,PB,9,1,,,,,
闻风响应,idiom,1,1,PH,9,1,,,,,
问舍求田,idiom,1,1,NN,7,2,,,,,
汶阳田反,idiom,1,1,PA,7,1,,,,,
我醉欲眠,idiom,1,1,PH,9,1,,,,,
握拳透掌,idiom,1,1,NA,9,2,,,,,
乌集之交,idiom,1,1,ND,7,2,,,,,
屋上乌,idiom,1,1,PB,7,1,,,,,
无了无休,idiom,1,1,NE,7,2,,,,,
无以塞责,idiom,1,1,NH,7,1,,,,,
无可比象,idiom,1,1,PH,9,1,,,,,
无名之朴,idiom,1,1,PH,7,1,,,,,
无形之罪,idiom,1,1,NB,9,2,,,,,
无拘无碍,idiom,1,1,PA,7,1,,,,,
无所不及,idiom,1,1,PH,9,1,,,,,
无所回避,idiom,1,1,PH,7,1,,,,,
无所措手,idiom,1,1,NE,9,2,,,,,
无故呻吟,idiom,1,1,NN,7,2,,,,,
无计奈何,idiom,1,1,NJ,7,2,,,,,
无师自通,idiom,1,1,PH,7,1,,,,,
无胫而走,idiom,1,1,PH,7,1,,,,,
无为而治,idiom,3,3,PH,7,1,,,,,
铁腕,noun,1,1,NC,5,2,,,,,
停业,verb,1,1,NJ,5,2,,,,,
通明,adj,1,1,PE,3,1,,,,,
捅娄子,verb,1,1,NE,7,2,,,,,
头等,adj,1,1,PD,5,1,,,,,
头油,noun,1,1,PH,7,1,,,,,
土包子,noun,1,1,ND,7,2,,,,,
土司制度,noun,1,1,NN,9,2,,,,,
推脱,verb,1,1,ND,7,1,,,,,
腿子,noun,1,1,NN,7,2,,,,,
火急,adj,1,1,NI,5,0,,,,,
亟亟,adj,1,1,NI,5,0,,,,,
疾苦,noun,1,1,NB,5,0,,,,,
憨笑,verb,1,1,PB,3,0,,,,,
喝倒彩,verb,1,1,ND,5,0,,,,,
和稀泥,verb,1,1,NN,3,0,,,,,
十生九死,idiom,1,1,NB,5,2,,,,,
十雨五风,idiom,1,1,PA,5,1,,,,,
十载寒窗,idiom,1,1,PH,5,1,,,,,
识文谈字,idiom,1,1,PH,5,1,,,,,
识微见远,idiom,1,1,PH,5,1,,,,,
拾带重还,idiom,1,1,PH,5,1,,,,,
食不重味,idiom,1,1,PH,5,1,,,,,
食甘寝安,idiom,1,1,PE,5,1,,,,,
豕分蛇断,idiom,1,1,NB,5,2,,,,,
使性傍气,idiom,1,1,NN,5,2,,,,,
屎流屁滚,idiom,1,1,NI,5,2,,,,,
势穷力屈,idiom,1,1,NB,5,2,,,,,
饰垢掩疵,idiom,1,1,NN,5,2,,,,,
视死如生,idiom,1,1,PH,5,1,,,,,
视同秦越,idiom,1,1,NN,5,2,,,,,
视微知著,idiom,1,1,PH,5,1,,,,,
逝者如斯,idiom,1,1,NB,5,2,,,,,
誓同生死,idiom,1,1,PB,5,1,,,,,
適性忘虑,idiom,1,1,PA,5,1,,,,,
手不释书,idiom,1,1,PH,5,1,,,,,
手脚无措,idiom,1,1,NI,5,2,,,,,
首善之区,idiom,1,1,PH,5,1,,,,,
书香人家,idiom,1,1,PH,5,1,,,,,
输肝剖胆,idiom,1,1,PH,5,1,,,,,
鼠心狼肺,idiom,1,1,ND,5,2,,,,,
鼠雀之牙,idiom,1,1,NN,5,2,,,,,
鼠窜狗盗,idiom,1,1,NN,5,2,,,,,
数黑论黄,idiom,1,1,NN,5,2,,,,,
束手无措,idiom,1,1,NI,5,2,,,,,
束修自好,idiom,1,1,PH,5,1,,,,,
树倒根摧,idiom,1,1,NB,5,2,,,,,
鉥肝刿肾,idiom,1,1,PH,5,1,,,,,
霜露之感,idiom,1,1,NB,5,2,,,,,
水火不避,idiom,1,1,PH,5,1,,,,,
水佩风裳,idiom,1,1,PH,5,1,,,,,
顺天从人,idiom,1,1,PH,5,1,,,,,
顺风扯帆,idiom,1,1,PA,5,1,,,,,
说白道绿,idiom,1,1,NN,5,2,,,,,
司马昭之心,idiom,1,1,NN,5,2,,,,,
死有余罪,idiom,1,1,NN,5,2,,,,,
死告活央,idiom,1,1,NB,5,2,,,,,
死诸葛能走生仲达,idiom,1,1,PH,5,1,,,,,
四通八达,idiom,1,1,PA,5,1,,,,,
怠慢,adj,1,1,NN,5,2,,,,,
捣乱,verb,1,1,NN,5,2,,,,,
得罪,verb,1,1,NN,5,2,,,,,
便秘,noun,1,1,NE,5,2,,,,,
变乱,noun,1,1,NC,3,2,,,,,
变性,adj,1,1,ND,5,2,,,,,
辩护士,noun,1,1,PH,5,1,,,,,
婊子,noun,1,1,ND,9,2,,,,,
濒危,adj,1,1,NC,7,2,,,,,
殡葬,verb,1,1,NB,5,2,,,,,
兵火,noun,1,1,ND,5,2,,,,,
饼子,noun,1,1,PB,5,1,,,,,
病毒,noun,1,1,NC,5,2,,,,,
病号,noun,1,1,NB,3,2,,,,,
病原虫,noun,1,1,NC,5,2,,,,,
波尔卡,noun,1,1,PB,7,1,,,,,
伯祖母,noun,1,1,PD,5,1,,,,,
搏斗,verb,1,1,NC,5,2,,,,,
补情,verb,1,1,PB,7,1,,,,,
不错眼,adj,1,1,PB,7,1,,,,,
不顾,verb,1,1,PH,5,1,,,,,
不克,verb,1,1,NL,3,2,,,,,
不佞,adj,1,1,NJ,5,2,,,,,
不失为,adj,1,1,PH,5,1,,,,,
不韪,noun,1,1,NN,7,2,,,,,
不行,verb,1,1,NJ,7,2,,,,,
献计,verb,1,1,PB,3,0,,,,,
乡愿,noun,1,1,ND,5,2,,,,,
相投,verb,1,1,PB,3,0,,,,,
享福,verb,1,1,PA,5,0,,,,,
想儿,noun,1,1,PF,5,0,,,,,
象话,verb,1,1,PH,5,0,,,,,
消极浪漫主义,noun,1,1,NN,3,0,,,,,
消夏,verb,1,1,PA,1,0,,,,,
小道儿消息,noun,1,1,ND,1,0,,,,,
小绺,noun,1,1,ND,3,2,,,,,
小算盘,noun,1,1,ND,3,0,,,,,
笑脸,noun,1,1,PA,5,0,,,,,
歇斯底里,adj,2,2,ND,5,0,,,,,
谐戏,verb,1,1,PA,5,0,,,,,
少艾,noun,2,2,PH,5,1,,,,,
舍亲,noun,1,1,PD,3,1,,,,,
申雪,verb,1,1,NB,7,2,,,,,
身手,noun,1,1,PH,3,1,,,,,
深造,verb,1,1,PH,1,1,,,,,
神物,noun,2,1,PH,5,1,,,,,
渗入,verb,2,2,NN,3,2,,,,,
生变,verb,1,1,NB,5,2,,,,,
生息,verb,2,2,PA,1,1,,,,,
胜利果实,noun,1,1,PA,3,1,,,,,
失欢,noun,1,1,NB,5,2,,,,,
失恋,noun,1,1,NB,7,2,,,,,
失去,noun,1,1,NB,5,2,,,,,
失守,noun,1,1,NE,5,2,,,,,
绝代,adj,1,1,PH,7,0,,,,,
骏马,noun,1,1,PH,9,1,,,,,
恺悌,adj,1,1,PA,5,1,,,,,
割席,verb,1,1,NJ,6,0,,,,,
孤哀子,noun,1,1,NB,2,0,,,,,
交心,verb,1,1,PG,5,0,,,,,
胶着,adj,1,1,NJ,3,0,,,,,
绞手,verb,1,1,NC,7,2,,,,,
剿灭,verb,1,1,PD,5,1,,,,,
阶级观点,noun,2,1,PH,7,1,,,,,
揭穿,verb,1,1,NN,7,0,,,,,
节节,adj,1,1,PH,5,1,,,,,
结仇,verb,1,1,ND,7,0,,,,,
桀黠,adj,1,1,NN,7,2,,,,,
竭力,adj,1,1,PH,5,0,,,,,
解脱,verb,1,1,PA,7,0,,,,,
借口,noun,1,1,NN,5,2,,,,,
金融寡头,noun,1,1,NN,7,0,,,,,
闹哄,verb,2,1,NN,5,2,,,,,
泥腿,noun,1,1,NN,5,2,,,,,
蝇蝇,adj,1,1,ND,5,2,,,,,
优遇,verb,1,1,PB,5,1,,,,,
悠缪,adj,1,1,NN,9,2,,,,,
游侠,noun,1,1,PH,7,1,,,,,
右派,noun,2,1,NN,7,2,,,,,
余孽,noun,1,1,NN,9,2,,,,,
窳劣,adj,1,1,NN,7,2,,,,,
畅谈,verb,1,1,PA,5,1,,,,,
唱反调,verb,1,1,NN,7,2,,,,,
超经济剥削,verb,1,1,ND,5,2,,,,,
朝贡,verb,1,1,PH,5,1,,,,,
称谢,verb,1,1,PH,5,1,,,,,
惩办,verb,1,1,NA,7,2,,,,,
吃不上,adj,1,1,NE,7,2,,,,,
吃教,noun,1,1,NJ,5,2,,,,,
持家,verb,1,1,PE,5,1,,,,,
笔伐口诛,idiom,1,1,ND,5,0,,,,,
壁间蛇影,idiom,1,1,NC,5,1,,,,,
辩口利辞,idiom,1,1,PH,5,1,,,,,
标新竞异,idiom,1,1,PH,5,1,,,,,
别开蹊径,idiom,1,1,PH,5,1,,,,,
冰寒於水,idiom,1,1,PH,5,1,,,,,
兵销革偃,idiom,1,1,PH,5,1,,,,,
并疆兼巷,idiom,1,1,PH,5,1,,,,,
播糠眯目,idiom,1,1,NN,5,2,,,,,
博览五车,idiom,1,1,PH,5,1,,,,,
不刊之论,idiom,1,1,PH,5,1,,,,,
不伏烧埋,idiom,2,2,NN,5,2,,,,,
不直一钱,idiom,1,1,NN,5,2,,,,,
不知就里,idiom,2,2,NN,5,2,,,,,
不染一尘,idiom,1,1,PH,5,1,,,,,
不爽毫发,idiom,1,1,PH,5,1,,,,,
不复堪命,idiom,1,1,NJ,9,0,,,,,
不经之说,idiom,1,1,NN,5,2,,,,,
不晓世务,idiom,1,1,NN,5,2,,,,,
不避汤火,idiom,1,1,NN,5,2,,,,,
不识东家,idiom,1,1,NN,5,2,,,,,
布帆无恙,idiom,1,1,PK,5,0,,,,,
材士练兵,idiom,1,1,PH,5,1,,,,,
材剧志大,idiom,1,1,PD,5,0,,,,,
彩云易散,idiom,1,1,NJ,5,0,,,,,
操之过切,idiom,1,1,NN,5,2,,,,,
差彊人意,idiom,1,1,NJ,5,0,,,,,
谗口铄金,idiom,1,1,ND,5,2,,,,,
倡情冶思,idiom,1,1,NN,5,2,,,,,
长枕大衾,idiom,1,1,PB,5,0,,,,,
长歌当哭,idiom,1,1,NB,5,0,,,,,
远怀近集,idiom,1,1,PD,3,1,,,,,
月地云阶,idiom,1,1,PB,5,0,,,,,
岳岳荦荦,idiom,1,1,PH,5,1,,,,,
云心水性,idiom,1,1,NN,5,2,,,,,
云过天空,idiom,1,1,PH,5,1,,,,,
云开雾散,idiom,1,1,NB,5,0,,,,,
陨雹飞霜,idiom,1,1,ND,5,0,,,,,
再衰三涸,idiom,1,1,NJ,5,0,,,,,
赃官污吏,idiom,1,1,NN,5,2,,,,,
澡垢索疵,idiom,1,1,NN,3,2,,,,,
躁言丑句,idiom,1,1,NN,5,2,,,,,
贼眉贼眼,idiom,1,1,NN,5,2,,,,,
诈奸不及,idiom,1,1,NN,7,2,,,,,
詹言曲说,idiom,1,1,NN,3,2,,,,,
辗转反侧,idiom,1,1,NE,5,0,,,,,
张公吃酒李公颠,idiom,1,1,PH,5,1,,,,,
招是生非,idiom,1,1,NN,5,2,,,,,
朝生暮死,idiom,2,2,NB,5,0,,,,,
遮三瞒四,idiom,1,1,NN,3,2,,,,,
真独简贵,idiom,1,1,PH,5,1,,,,,
震古铄今,idiom,1,1,PH,5,1,,,,,
正大堂煌,idiom,1,1,PH,5,1,,,,,
政以贿成,idiom,1,1,NN,5,2,,,,,
执文害意,idiom,1,1,NN,5,2,,,,,
直言正色,idiom,1,1,PH,5,1,,,,,
植党自私,idiom,1,1,NN,5,2,,,,,
指皁为白,idiom,1,1,NN,5,2,,,,,
指亲托故,idiom,1,2,NN,5,2,,,,,
面若死灰,idiom,1,1,NC,5,0,,,,,
妙算神机,idiom,1,1,PH,5,1,,,,,
民富国彊,idiom,1,1,PE,9,1,,,,,
明公正道,idiom,1,1,PH,6,1,,,,,
明来暗往,idiom,1,1,NN,5,2,,,,,
鸣鹤之应,idiom,1,1,PH,5,1,,,,,
摩顶放踵,idiom,1,1,PH,6,1,,,,,
磨砻砥砺,idiom,1,1,PH,6,0,,,,,
目牛无全,idiom,1,1,PH,5,1,,,,,
目眩神摇,idiom,1,1,PC,5,0,,,,,
目乱睛迷,idiom,1,1,PC,5,0,,,,,
目瞪舌挢,idiom,1,1,PC,5,0,,,,,
拿三搬四,idiom,1,1,NN,6,2,,,,,
难分难解,idiom,1,1,PB,7,1,,,,,
能伸能屈,idiom,1,1,PH,5,1,,,,,
泥猪瓦狗,idiom,1,1,NN,5,2,,,,,
逆道乱常,idiom,1,1,NN,6,2,,,,,
鸟哭猿啼,idiom,1,1,NB,7,2,,,,,
尿流屁滚,idiom,1,1,NC,7,2,,,,,
牛角书生,idiom,1,1,PH,5,1,,,,,
驽马恋栈豆,idiom,1,1,NN,5,2,,,,,
拍马溜须,idiom,1,1,NN,5,2,,,,,
旁门外道,idiom,1,1,NN,6,2,,,,,
狮子大开口,idiom,1,1,NN,5,2,,,,,
十年磨剑,idiom,1,1,PH,5,1,,,,,
十病九痛,idiom,1,1,NB,5,2,,,,,
时来运转,idiom,1,1,PA,5,1,,,,,
识时达变,idiom,1,1,PH,5,1,,,,,
拾人唾涕,idiom,1,1,NN,5,2,,,,,
食不充肠,idiom,1,1,NB,5,2,,,,,
食不遑味,idiom,1,1,NI,5,2,,,,,
食鱼遇鯖,idiom,1,1,PH,5,1,,,,,
使心彆气,idiom,1,1,NA,5,2,,,,,
使贤任能,idiom,1,1,PH,5,1,,,,,
事捷功倍,idiom,1,1,PH,5,1,,,,,
饰非掩过,idiom,1,1,NN,5,2,,,,,
视下如伤,idiom,1,1,PH,5,1,,,,,
视同兒戏,idiom,1,1,NN,5,2,,,,,
视为兒戏,idiom,1,1,NN,5,2,,,,,
室如悬罄,idiom,1,1,NB,5,2,,,,,
誓死不屈,idiom,1,1,PH,5,1,,,,,
適如其分,idiom,1,1,PA,5,1,,,,,
適情任欲,idiom,1,1,NN,5,2,,,,,
手高眼低,idiom,1,1,NN,5,2,,,,,
守阙抱残,idiom,1,1,NN,5,2,,,,,
兽困则噬,idiom,1,1,ND,5,2,,,,,
疏财重义,idiom,1,1,PH,5,1,,,,,
熟路轻辙,idiom,1,1,PE,5,1,,,,,
鼠肚鸡肠,idiom,1,1,NN,5,2,,,,,
鼠腹鸡肠,idiom,1,1,NN,5,2,,,,,
鼠首偾事,idiom,1,1,NN,5,2,,,,,
束手待死,idiom,1,1,NN,5,2,,,,,
束手就毙,idiom,1,1,NN,5,2,,,,,
束椽为柱,idiom,1,1,NN,5,2,,,,,
霜凋夏绿,idiom,1,1,NB,5,2,,,,,
水中捉月,idiom,1,1,NJ,5,2,,,,,
水来土掩,idiom,1,1,PE,5,1,,,,,
水尽山穷,idiom,1,1,NB,5,1,,,,,
顺我者昌，逆我者亡,idiom,1,1,NN,5,2,,,,,
说一是一，说二是二,idiom,1,1,PH,5,1,,,,,
说黄道黑,idiom,1,1,NN,5,2,,,,,
死中求生,idiom,1,1,PA,5,1,,,,,
死求白赖,idiom,1,1,NN,5,2,,,,,
死里求生,idiom,1,1,PA,5,1,,,,,
四海昇平,idiom,1,1,PH,5,1,,,,,
孤行一意,idiom,1,1,ND,9,2,,,,,
孤恩负义,idiom,1,1,ND,9,2,,,,,
孤悬客寄,idiom,1,1,NB,5,2,,,,,
骨肉相残,idiom,1,1,ND,7,2,,,,,
鼓舌掀簧,idiom,1,1,ND,5,2,,,,,
鼓睛暴眼,idiom,1,1,NC,7,2,,,,,
鼓乐齐鸣,idiom,1,1,PA,7,1,,,,,
故作玄虚,idiom,1,1,NN,5,2,,,,,
顾而言他,idiom,1,1,NN,5,2,,,,,
顾影弄姿,idiom,1,1,NN,5,2,,,,,
寡二少双,idiom,1,1,PG,5,0,,,,,
怪形怪状,idiom,1,1,ND,5,2,,,,,
观隅反三,idiom,1,1,PG,5,1,,,,,
冠上加冠,idiom,1,1,NN,5,2,,,,,
贯斗双龙,idiom,1,1,PG,9,1,,,,,
光车骏马,idiom,1,1,PB,5,1,,,,,
光焰万丈,idiom,1,1,PB,7,1,,,,,
归十归一,idiom,1,1,PG,5,1,,,,,
规行矩止,idiom,2,2,NN,5,2,,,,,
瑰意奇行,idiom,1,1,PG,7,1,,,,,
鬼工雷斧,idiom,1,1,PG,9,1,,,,,
鬼泣神嚎,idiom,2,2,NC,9,2,,,,,
鬼哭神嚎,idiom,2,2,NC,9,2,,,,,
鬼蜮伎俩,idiom,1,1,NN,9,2,,,,,
贵人多忘事,idiom,1,1,ND,5,2,,,,,
贵远鄙近,idiom,1,1,ND,5,2,,,,,
刿心怵目,idiom,1,1,NC,9,0,,,,,
国耳忘家,idiom,1,1,PD,7,1,,,,,
过府冲州,idiom,1,1,NN,5,0,,,,,
咳声叹气,idiom,1,1,NB,5,2,,,,,
海盟山咒,idiom,1,1,PB,9,1,,,,,
骇心动目,idiom,1,1,PC,9,2,,,,,
酣歌醉舞,idiom,1,1,NN,5,2,,,,,
含仁怀义,idiom,1,1,PG,7,1,,,,,
含垢包羞,idiom,1,1,PD,7,1,,,,,
含宫咀徵,idiom,1,1,PB,5,1,,,,,
含瑕积垢,idiom,1,1,PD,5,1,,,,,
韩寿分香,idiom,1,1,ND,5,2,,,,,
寒泉之思,idiom,1,1,PF,7,1,,,,,
汗青头白,idiom,1,1,NJ,5,0,,,,,
汗流浃踵,idiom,1,1,NB,9,0,,,,,
好天良夜,idiom,1,1,PA,7,1,,,,,
好色之徒,idiom,1,1,NN,7,2,,,,,
豪竹哀丝,idiom,1,1,NB,5,0,,,,,
浩浩汤汤,idiom,1,1,PG,7,0,,,,,
河山之德,idiom,1,1,PG,7,1,,,,,
河东狮子,idiom,1,1,ND,5,2,,,,,
河清海晏,idiom,1,1,PE,5,1,,,,,
涸鱼得水,idiom,1,1,PA,5,1,,,,,
鹤骨鸡肤,idiom,1,1,NJ,5,0,,,,,
鹤鸣之士,idiom,1,1,PG,5,1,,,,,
黑漆皮灯,idiom,1,1,NN,5,2,,,,,
横行直撞,idiom,1,1,ND,5,2,,,,,
横眉吐气,idiom,1,1,PG,7,1,,,,,
横从穿贯,idiom,1,1,PG,5,1,,,,,
横殃飞祸,idiom,1,1,NC,7,2,,,,,
横赋暴敛,idiom,1,1,ND,7,2,,,,,
轰天烈地,idiom,1,1,PG,7,1,,,,,
闳言高论,idiom,1,1,PG,5,1,,,,,
鸿爪春泥,idiom,1,1,PF,5,1,,,,,
鸿轩凤翥,idiom,1,1,PG,7,1,,,,,
鸿图华构,idiom,1,1,PG,5,1,,,,,
鸿隐凤伏,idiom,1,1,NJ,5,2,,,,,
后浪催前浪,idiom,1,1,PG,5,1,,,,,
呼天叫地,idiom,1,1,ND,9,2,,,,,
狐不二雄,idiom,1,1,NA,9,2,,,,,
狐唱枭和,idiom,1,1,ND,5,2,,,,,
狐鸣鱼书,idiom,1,1,ND,5,2,,,,,
户天胡帝,idiom,2,2,ND,7,2,,,,,
师父,noun,2,2,PD,5,1,,,,,
诗篇,noun,2,2,PG,5,1,,,,,
十七勇士,noun,1,1,PD,5,1,,,,,
实地,adj,2,2,PG,5,1,,,,,
矢口,verb,1,1,NN,5,2,,,,,
示范,noun,1,1,PG,5,1,,,,,
试看,verb,1,1,PG,5,1,,,,,
逝世,verb,1,1,NB,7,1,,,,,
收拢,verb,2,1,NN,5,2,,,,,
胡言乱道,idiom,1,1,ND,5,2,,,,,
胡说白道,idiom,1,1,ND,5,2,,,,,
鹄面鸠形,idiom,1,1,NB,5,0,,,,,
怙过不悛,idiom,1,1,NN,9,2,,,,,
化日光天,idiom,1,1,PH,7,1,,,,,
话长说短,idiom,1,1,ND,5,2,,,,,
怀银纡紫,idiom,1,1,PH,5,1,,,,,
欢忭鼓舞,idiom,1,1,PA,9,1,,,,,
还醇返朴,idiom,1,1,PE,5,0,,,,,
焕然如新,idiom,1,1,PA,5,1,,,,,
黄金世界,idiom,1,1,PB,5,1,,,,,
黄发兒齿,idiom,1,1,PE,5,0,,,,,
黄齑白饭,idiom,1,1,ND,5,0,,,,,
灰身灭智,idiom,1,1,NJ,7,0,,,,,
挥日阳戈,idiom,1,1,PH,9,1,,,,,
隳肝尝胆,idiom,1,1,PH,9,1,,,,,
回船转舵,idiom,1,1,NJ,5,0,,,,,
悔其少作,idiom,1,1,NJ,5,0,,,,,
毁家纾国,idiom,1,1,PH,9,1,,,,,
诲尔谆谆，听我藐藐,idiom,1,1,NJ,5,2,,,,,
昏头晕脑,idiom,1,1,ND,5,0,,,,,
浑浑沌沌,idiom,1,1,NN,5,2,,,,,
魂亡胆落,idiom,1,1,NC,7,0,,,,,
魂飞目断,idiom,1,1,PB,7,1,,,,,
魂飞胆落,idiom,1,1,PC,9,0,,,,,
魂丧神夺,idiom,1,1,PC,9,0,,,,,
魂颠梦倒,idiom,1,1,PF,7,0,,,,,
活形活现,idiom,1,1,PH,7,0,,,,,
火上弄冰,idiom,1,1,NB,5,0,,,,,
火龙黼黻,idiom,1,1,NN,5,0,,,,,
祸在旦夕,idiom,1,1,NE,7,0,,,,,
惑世诬民,idiom,1,1,NN,7,0,,,,,
击碎唾壶,idiom,1,1,PH,9,1,,,,,
饥寒交至,idiom,1,1,NB,5,0,,,,,
肌劈理解,idiom,1,1,PH,5,1,,,,,
鸡犬昇天,idiom,1,1,NN,7,2,,,,,
鸡肠狗肚,idiom,1,1,ND,9,2,,,,,
及宾有鱼,idiom,1,1,ND,5,2,,,,,
极情尽致,idiom,1,1,PA,7,1,,,,,
急功近名,idiom,1,1,NN,5,2,,,,,
棘地荆天,idiom,1,1,NB,7,0,,,,,
计日而俟,idiom,1,1,PF,7,0,,,,,
计无所施,idiom,1,1,NJ,5,0,,,,,
际遇风云,idiom,1,1,PA,5,1,,,,,
骥子龙文,idiom,1,1,PH,7,1,,,,,
家破人离,idiom,1,1,NB,7,0,,,,,
嘉言善状,idiom,1,1,PH,5,1,,,,,
假虎张威,idiom,1,1,ND,5,2,,,,,
架海金樑,idiom,1,1,PH,7,1,,,,,
兼葭秋水,idiom,1,1,PF,7,0,,,,,
哈巴狗,noun,2,2,NN,7,2,,,,,
好好先生,noun,1,1,NN,3,2,,,,,
合家欢,noun,1,1,PA,3,0,,,,,
活地狱,noun,1,1,NJ,5,2,,,,,
火头,noun,4,4,NB,5,0,,,,,
急忙,adj,1,1,NI,5,0,,,,,
冬日可爱,idiom,1,1,PH,5,1,,,,,
白头偕老,idiom,1,1,PH,5,1,,,,,
花好月圆,idiom,1,1,PA,5,1,,,,,
